0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
film,bank,connect,congress,bank,scal,board,servic,iphon,pakistan,servic,congress,exposur,editori,bank,film,pakistan,instrument,reader,justic,film,congress,film,recal,reserv,film
bird,congress,adam,crore,justic,bdmcl,pakistan,network,batteri,congress,board,kharg,biomass,school,vote,iphon,fatf,justic,editor,fire,polic,film,justic,johnson,court,congress
villag,andhra,modi,telangana,amazon,statement,surfboard,oper,pack,fatf,instrument,effort,lockdown,oper,bachchan,eucalyptu,lineag,hunger,bank,film,hunger,revenu,chandrachud,macaqu,hartal,kharg
audienc,committe,border,gandhi,sale,wadia,fatf,bengaluru,phone,design,jinp,chines,cook,polic,film,lineag,engin,visit,capit,congress,congress,ministri,festiv,reserv,justic,justic
craft,pradesh,film,health,crore,financi,potter,citi,appl,health,surfboard,period,design,reader,road,leaf,recombin,summit,malaysia,court,dhantera,pradesh,judg,minut,speech,firecrack
wagtail,capit,australia,bank,lakh,crore,congress,enabl,featur,build,congress,ambassador,global,valu,hous,forest,leopard,music,singh,chandrachud,festiv,vote,congress,bharat,direct,mamani
write,trump,toward,yatra,connect,sebi,premier,programm,servic,terror,edit,friendship,build,girl,candid,nadu,student,board,newspap,georg,bodi,financ,court,bull,date,nihonshu
district,alli,black,polic,season,film,final,film,ultraviolett,matern,offer,unforgett,averag,fair,capit,tree,film,asean,paper,brown,sunday,jinp,firecrack,tail,iphon,vote
water,telangana,review,board,congress,oneweb,season,relianc,custom,review,templ,karnataka,architectur,student,actor,nihonshu,scienc,film,adequaci,gandhi,evid,committe,woman,servic,integr,polic
krishnaswami,subpoena,structur,pradesh,chandrachud,sale,militari,decemb,sweet,album,event,film,highest,parent,coach,recombin,comput,novemb,minut,jinp,global,gandhi,kharg,inflict,2017,johnson
award,financi,depart,opposit,festiv,road,shape,road,space,architectur,music,bank,board,hill,artist,ireland,terror,modi,score,festiv,child,speech,assembl,sharma,film,court
karunatilaka,chines,haldi,accus,telangana,satellit,surf,rollout,light,swift,chines,johnson,film,water,write,court,cours,chandrachud,concern,appoint,jewelleri,karnataka,citi,singh,hate,audienc
marsh,alleg,movi,quarter,2021,consolid,venezuelan,user,global,chines,shape,board,period,saunder,railway,cultur,emerg,congress,hindu,carbon,calcul,crore,burst,drug,batteri,design
lanka,adequaci,crore,reddi,villag,bombay,communist,phone,oper,death,craft,tenur,fuel,accus,told,appoint,terrorist,surfboard,appoint,sunday,rank,alleg,sale,sunak,dollar,school
special,corrupt,select,hous,death,villag,stand,father,platform,detect,film,joint,spend,educ,idea,featur,justic,bank,ratio,particl,kharg,border,qualiti,gandhi,recombin,festiv
seven,pbsc,local,villag,compar,secur,turn,begin,model,decis,challeng,memori,household,maintain,villag,reader,iphon,vote,platform,stall,return,kharg,polic,congress,foreign,burst
iphon,appoint,father,karnataka,period,deliber,citi,offer,charg,terrorist,stand,bachchan,thackeray,committe,johnson,father,decis,calcul,dhanlaxmi,shop,lineag,court,answer,side,lineag,saundatti
produc,provinc,recruit,alleg,chart,market,diya,2020,imag,platform,enabl,evergreen,complaint,journalist,scheme,design,court,score,corner,session,blast,polici,cracker,research,privat,road
dead,rank,zealand,welcom,border,connect,beij,jinp,variant,communist,mamani,cherish,rane,khan,pradesh,raymond,grey,child,penalti,flame,collect,opposit,stand,bengaluru,complaint,tell
screen,stand,personnel,appoint,capit,global,design,test,remov,assam,chennai,friend,woman,telangana,modi,love,genom,saudi,write,ground,without,stand,amazon,stump,gold,student
